mysql> select * from rt2;
+---------------------+----------------+-----------+----------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+
| createdDate         | sequenceNumber | frameType | latitude | longitude | c1   | c2   | c3   | c4   | c5   | c6   | c7   | c8   | c9   | c10  | c11  | c12  |
| 2014-08-09 18:38:30 |       11413560 |         1 | 51.36    | 26.49     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:40 |       11413560 |         2 | 51.96    | 26.22     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:40 |       11413560 |         3 | 51.96    | 26.22     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:50 |       11413560 |         4 | 52.56    | 25.94     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:39:35 |       11413560 |         7 | 55.24    | 24.59     |  793 |  766 | 1019 |  802 |  511 |  755 | 1007 |  337 |  991 |  478 |  971 |  962 |
| 2014-08-09 18:39:40 |       11413560 |         8 | 55.54    | 24.43     |  833 |    0 |    0 |  970 |    0 |  863 |    0 |  172 |    0 |  446 |  825 |    0 |
| 2014-08-09 18:39:45 |       11413560 |         9 | 55.84    | 24.27     |  833 |    0 |    0 |  970 |    0 |  863 |    0 |  172 |    0 |  446 |  825 |    0 |
| 2014-08-09 18:39:45 |       11413560 |        10 | 55.84    | 24.26     |  835 |    0 |    0 |  971 |    0 |  867 |    0 |  167 |    0 |  442 |  822 |    0 |
| 2014-08-09 18:39:45 |       11413560 |        11 | 55.85    | 24.26     |  835 |    0 |    0 |  971 |    0 |  867 |    0 |  167 |    0 |  442 |  822 |    0 |
| 2014-08-09 18:39:45 |       11413560 |        12 | 55.85    | 24.26     |  836 |    0 |    0 |  970 |    0 |  870 |    0 |  162 |    0 |  441 |  846 |    0 |
| 2014-08-09 18:39:45 |       11413560 |        13 | 55.85    | 24.26     |  836 |    0 |    0 |  970 |    0 |  870 |    0 |  162 |    0 |  441 |  846 |    0 |
| 2014-08-09 18:39:45 |       11413560 |        14 | 55.86    | 24.26     |  836 |    0 |    0 |  969 |    0 |  874 |    0 |  162 |    0 |  438 |  810 |    0 |
| 2014-08-09 18:39:45 |       11413560 |        15 | 55.86    | 24.26     |  836 |    0 |    0 |  969 |    0 |  874 |    0 |  162 |    0 |  438 |  810 |    0 |
| 2014-08-09 18:39:45 |       11413560 |        16 | 55.87    | 24.25     |  837 |    0 |    0 |  970 |    0 |  879 |    0 |  156 |    0 |  435 |  834 |    0 |
| 2014-08-09 18:39:50 |       11413560 |        17 | 56.14    | 24.1      |  837 |    0 |    0 |  970 |    0 |  879 |    0 |  156 |    0 |  435 |  834 |    0 |
| 2014-08-09 18:39:55 |       11413560 |        18 | 56.44    | 23.94     |  838 |    0 |    0 |  969 |    0 |  881 |    0 |  154 |    0 |  434 |  826 |    0 |
| 2014-08-09 18:40:00 |       11413560 |        19 | 56.73    | 23.77     |  838 |    0 |    0 |  969 |    0 |  881 |    0 |  154 |    0 |  434 |  826 |    0 |
| 2014-08-09 18:40:10 |       11413560 |        20 | 57.33    | 23.42     |  839 |    0 |    0 |  968 |    0 |  885 |    0 |  151 |    0 |  427 |  828 |    0 |
| 2014-08-09 18:40:15 |       11413560 |        21 | 57.62    | 23.25     |  839 |    0 |    0 |  968 |    0 |  885 |    0 |  151 |    0 |  427 |  828 |    0 |
| 2014-08-09 18:40:15 |       11413560 |        22 | 57.62    | 23.25     |  839 |    0 |    0 |  969 |    0 |  885 |    0 |  149 |    0 |  431 |  813 |    0 |
| 2014-08-09 18:40:25 |       11413560 |        23 | 58.21    | 22.89     |  839 |    0 |    0 |  969 |    0 |  885 |    0 |  149 |    0 |  431 |  813 |    0 |
| 2014-08-09 18:40:25 |       11413561 |         0 | 58.22    | 22.89     |  841 |    0 |    0 |  969 |    0 |  890 |    0 |  144 |    0 |  428 |  822 |    0 |
| 2014-08-09 18:40:30 |       11413561 |         1 | 58.51    | 22.71     |  841 |    0 |    0 |  969 |    0 |  890 |    0 |  144 |    0 |  428 |  822 |    0 |
| 2014-08-09 18:40:35 |       11413561 |         2 | 58.81    | 22.52     |  843 |    0 |    0 |  969 |    0 |  893 |    0 |  142 |    0 |  425 |  827 |    0 |
| 2014-08-09 18:40:40 |       11413561 |         3 | 59.1     | 22.33     |  843 |    0 |    0 |  969 |    0 |  893 |    0 |  142 |    0 |  425 |  827 |    0 |
| 2014-08-09 18:40:45 |       11413561 |         4 | 59.4     | 22.14     |  755 |    0 |    0 |  965 |    0 |  897 |    0 |  138 |    0 |  418 |  924 |    0 |
| 2014-08-09 18:40:50 |       11413561 |         5 | 59.69    | 21.94     |  755 |    0 |    0 |  965 |    0 |  897 |    0 |  138 |    0 |  418 |  924 |    0 |
| 2014-08-09 18:40:55 |       11413561 |         6 | 59.99    | 21.75     |  838 |    0 |    0 |  965 |    0 |  899 |    0 |  134 |    0 |  421 |  823 |    0 |
| 2014-08-09 18:41:10 |       11413561 |         9 | 60.87    | 21.13     |  848 |    0 |    0 |  968 |    0 |  901 |    0 |  138 |    0 |  414 |  732 |    0 |
| 2014-08-09 18:41:20 |       11413561 |        10 | 61.45    | 20.71     |  851 |    0 |    0 |  968 |    0 |  903 |    0 |  135 |    0 |  406 |  716 |    0 |
| 2014-08-09 18:41:20 |       11413561 |        11 | 61.46    | 20.71     |  851 |    0 |    0 |  968 |    0 |  903 |    0 |  135 |    0 |  406 |  716 |    0 |
| 2014-08-09 18:41:30 |       11413561 |        12 | 62.04    | 20.27     |  853 |    0 |    0 |  967 |    0 |  905 |    0 |  133 |    0 |  402 |  712 |    0 |
| 2014-08-09 18:41:30 |       11413561 |        13 | 62.04    | 20.26     |  853 |    0 |    0 |  967 |    0 |  905 |    0 |  133 |    0 |  402 |  712 |    0 |
| 2014-08-09 18:41:40 |       11413561 |        14 | 62.62    | 19.81     |  857 |    0 |    0 |  966 |    0 |  908 |    0 |  132 |    0 |  395 |  833 |    0 |
| 2014-08-09 18:41:40 |       11413561 |        15 | 62.63    | 19.81     |  857 |    0 |    0 |  966 |    0 |  908 |    0 |  132 |    0 |  395 |  833 |    0 |
